author	title	Price	inStock	publisher
A Yoe	မျှော်လင့်လမ်း	4,200 	0 	
Akyi Taw	သူခိုး	4,000 	0 	
Akyi Taw	ရွှေမိုးသည်း	3,500 	1 	
Akyin Nar Mon	တောင်တောရယ်သာ	5,000 	1 	NDSP
Ashin Eiddhi Pala	မင်းဟာစကြဝဠာရဲ့အရှင်သခင်	6,000 	0 	
Ashin Sandar Hti Ka	ကိုယ့်စိတ်ကိုယ်စစ်	1,500 	0 	
Aung Aye (Yangon University)	တော်လှန်ရေးကောင်စီမှ စစ်အာဏာရှင်စနစ်ဆီသို့	10,000 	0 	
Aung Cheint	ဂန္တဝင်မမ	2,500 	0 	
Aung Cheint	မင်းကအောင်ချိမ့်လား	10,000 	0 	
Aung Thin	အမွေလက်ခံလိုက်စမ်းပါ တကယ့်အနုပညာ	2,000 	0 	
Aung Tun	မြန်မာနိုင်ငံကျောင်းသားလှုပ်ရှားမှုသမိုင်း	12,000 	0 	
British Ko Ko Maung	နေထွက်ဘုရင်	5,000 	0 	NDSP
British Ko Ko Maung	ဘောနက်ကြီး	2,500 	2 	NDSP
British Ko Ko Maung	၆၆ (ယ)ရှောင်နည်းနှင့် နိုင်ငံရေးသရော်စာများ	2,800 	2 	NDSP
British Ko Ko Maung	တော်လှန်သောသရော်စာများ	4,500 	2 	NDSP
Cambridge	Vocabulary For IELTS	3,500 	0 	
Cambridge	Grammer For IELTS	5,500 	0 	
Chan Myae Win	ဆုလာဘ်	5,500 	1 	Zit Myit
Chan Myae Win	ဂရုမစိုက်ခြင်း အနုပညာ ဘဝနေနည်းအသစ်	5,000 	0 	Zit Myit
Chan Myae Win	တစ်+တစ် = သုံး	4,000 	0 	Zit Myit
Chan Myae Win	မျှော်လင့်ခြင်းဖတ်စာ	4,500 	1 	
Chan Myae Win	အမှောင်	6,500 	0 	
Chit Oo Nyo	ဥပေက္ခာဒေဝီ	10,000 	1 	
Chit Oo Nyo	လင်္ကာဒီပချစ်သူ	8,000 	1 	
Chit Oo Nyo	နေမင်းလမင်း သိန်းရာထောင်	5,500 	0 	
Chit Oo Nyo	သုဓနုနှင့်မနောဟရာ	8,000 	0 	
Cho Paing Naung	၁၀ လွှာ	3,500 	1 	NDSP
Cho Paing Naung	သက်တံပေါ်မှာ ကခုန်ကြသူများ	5,000 	0 	NDSP
Collin	Writing For IELTS	3,500 	0 	
Collin	Speaking For IELTS	4,000 	0 	
D No Vo	နိုင်းမြစ်တကြောမေ့မေ့မျောမျော	3,000 	0 	
Dr. Aung Myint Oo	စာပေပင်လယ်ထဲက ကဗျာလှိုင်းကလေး	4,000 	0 	
Dr.Phyo Thiha	Minimalism 	6,000 	1 	
Dr.Phyo Thiha	ပရော်ဖက်ရှင်နယ်တစ်ယောက်ဖြစ်ဖို့ဆိုရင်	3,000 	0 	
Dr.Phyo Thiha	ကမ္ဘာကြီးရဲ့တောင်ပံတစ်စုံ	3,000 	1 	
Dr.Phyo Thiha	ပျော်ရွှင်ပါစေ	5,000 	2 	
Hla Than	ကျနော့်ရဲ့ယခုအချိန်နှင့်အခြားမငြိမ်သက်မှုများ	1,000 	1 	
Htet Htet Htun	နေ့တိုင်းပျော်ပါတယ်	2,500 	0 	
Htet Htet Htun	ဘဝထဲကအမေး/အဖြေများ	4,000 	0 	
Htet Yei	The Brand In You	3,500 	0 	
Jauk Jack	ဂျောက်ဂျက် (ပြန်လှည့်ကြည့်တော့ ခဏလေး)	6,000 	1 	
Jessica Mozart	The Body Book	4,000 	0 	
Journal Kyaw Ma Ma Lay	သူလိုမိန်းမ	1,500 	0 	
Journal Kyaw Ma Ma Lay	မေတ္တာ	1,500 	1 	
Journal Kyaw Ma Ma Lay	စိတ်	4,000 	1 	
Journal Kyaw Ma Ma Lay	မေ့အိမ်မက်	900 	1 	
Journal Kyaw Ma Ma Lay	သွေး	5,500 	0 	
Journal Kyaw Ma Ma Lay	သူလိုလူ	6,500 	0 	
Journal Kyaw Ma Ma Lay	တွေးတစိမ့်စိမ့်	2,800 	1 	
Journal Kyaw Ma Ma Lay	ရင်မှတစ်ရှိုက်	3,000 	1 	
Journal Kyaw U Chit Mg	ဝတ္ထုတိုများ	2,500 	1 	
Juu	ကြာတော့သည်လည်း မောင့်စကား	4,000 	1 	
Juu	အောက်ခြေသန်းတစ်ထောင်	800 	1 	
Juu	အစိမ်းရောင်အမွေအနှစ်	1,000 	1 	
Juu	အရောင်များနှင့်ကစားခြင်း	2,500 	1 	
Juu	ပင်လယ်နှင့်တူသောမိန်းမများ	3,500 	1 	
Juu	ကျွန်မ၏သစ်ပင်	4,000 	1 	
Juu	ကျွန်မချစ်သောကမ္ဘာမြေ	2,000 	1 	
Juu	ကြယ်စင်တံတားကမ်းပါးနှင်းဖြူ	2,500 	1 	
